하차_정류장순번,하차_정류장명,하차_정류장ARS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,All
1,강동공영차고지,25341.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3,강일고등학교.강일리버파크7단지,25322.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5,강일리버파크9단지.10단지,25328.0,,,2.0,13.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
6,강일역2번출구,25388.0,,1.0,5.0,53.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76
7,고덕리엔파크2단지,25344.0,,,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
8,강명초등학교.고덕리엔파크3단지,25345.0,,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,고덕자이.고덕천물놀이장,25109.0,,,,5.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
10,고덕자이.상일여고,25250.0,,1.0,2.0,9.0,7.0,7.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
11,상일1동주민센터.고덕사회체육센터,25252.0,,,1.0,2.0,,1.0,1.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
12,고덕숲아이파크,25254.0,,2.0,1.0,,,2.0,1.0,3.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
13,강동고등학교,25256.0,,2.0,4.0,4.0,8.0,2.0,6.0,19.0,10.0,25.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
14,한영중고한영외고,25259.0,,,4.0,4.0,11.0,1.0,1.0,11.0,12.0,44.0,27.0,10.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
15,명일동현대아파트,25260.0,,,1.0,,,,,10.0,8.0,30.0,14.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
16,고덕삼환.주공9단지아파트,25262.0,,,1.0,,,,,9.0,1.0,16.0,15.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
17,명일여자고등학교,25194.0,,,2.0,2.0,,3.0,,17.0,5.0,20.0,13.0,6.0,9.0,6.0,6.0,5.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
18,길동성당,25196.0,,1.0,3.0,1.0,,,,2.0,2.0,16.0,6.0,8.0,4.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
19,길동신동아아파트,25198.0,,2.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,16.0,6.0,5.0,9.0,3.0,4.0,12.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
20,강동농협,25218.0,,,1.0,2.0,1.0,1.0,2.0,5.0,,11.0,9.0,5.0,6.0,2.0,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
21,참잘함한방병원,25220.0,,2.0,1.0,,1.0,,,2.0,2.0,7.0,4.0,1.0,7.0,1.0,6.0,3.0,4.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
22,천동초등학교.천호도서관,25222.0,,,1.0,,2.0,,,,,9.0,2.0,3.0,5.0,2.0,3.0,2.0,7.0,4.0,12.0,9.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
23,강동성심병원(동신중학교),25225.0,,,1.0,2.0,1.0,,,3.0,,3.0,4.0,4.0,6.0,1.0,8.0,7.0,10.0,15.0,22.0,13.0,7.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
24,조은마디병원,25227.0,,,,,,,,1.0,,1.0,4.0,3.0,5.0,1.0,,3.0,1.0,3.0,12.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
25,성내구립도서관.사회적경제지원센터,25315.0,,,,,1.0,,,2.0,2.0,1.0,3.0,2.0,,,1.0,3.0,1.0,3.0,2.0,9.0,1.0,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
26,대순진리회,25210.0,,,1.0,1.0,2.0,,1.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,5.0,2.0,7.0,11.0,7.0,7.0,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
27,성내2동주민센터.성내복지관,25212.0,,,1.0,2.0,,,,3.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,9.0,5.0,4.0,15.0,7.0,8.0,14.0,9.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
28,성내삼성청구아파트,25214.0,,,,,2.0,1.0,,3.0,1.0,1.0,7.0,1.0,4.0,2.0,5.0,2.0,,2.0,4.0,7.0,5.0,9.0,8.0,10.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
29,성내주유소,25216.0,,,,,,,1.0,,1.0,,3.0,,2.0,,1.0,1.0,1.0,3.0,8.0,11.0,7.0,5.0,6.0,,7.0,25.0,30.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
30,영파여고.강동구청역,24109.0,,,3.0,1.0,2.0,3.0,,5.0,3.0,8.0,9.0,2.0,16.0,5.0,3.0,2.0,1.0,9.0,28.0,16.0,12.0,13.0,12.0,4.0,14.0,30.0,38.0,21.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263
31,풍납현대아파트,24468.0,1.0,,,,,,,,,,,1.0,2.0,,3.0,,1.0,3.0,2.0,5.0,3.0,5.0,4.0,,,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
32,풍납동극동.쌍용아파트,24110.0,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,3.0,4.0,3.0,,3.0,5.0,1.0,,,,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
33,올림픽대교남단,24121.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,4.0,1.0,2.0,1.0,1.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
34,현대2단지,5163.0,,,,,,,,,,2.0,2.0,,1.0,2.0,2.0,,1.0,3.0,3.0,7.0,5.0,,4.0,1.0,5.0,4.0,5.0,3.0,6.0,18.0,6.0,6.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
35,테크노마트앞.강변역,5267.0,1.0,1.0,1.0,1.0,,,1.0,4.0,3.0,3.0,2.0,2.0,2.0,,6.0,1.0,1.0,6.0,14.0,17.0,14.0,16.0,11.0,3.0,8.0,12.0,22.0,20.0,10.0,22.0,19.0,29.0,60.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316
36,현대아파트앞,5157.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,2.0,,,1.0,2.0,,,,4.0,3.0,1.0,2.0,4.0,4.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
37,풍납동극동.쌍용아파트,24232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,57.0,26.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,87
38,강동구청역농협중앙회,25313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
39,강동구청역1번출구.영파여고,25164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,14.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25
40,성내주유소,25217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,26
41,성내삼성청구아파트,25215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,7.0,6.0,7.0,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,77
42,성내2동주민센터.성내복지관,25213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,6.0,4.0,40.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,72
43,대순진리회,25211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,8.0,2.0,33.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,65
44,성내구립도서관.사회적경제지원센터,25314.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,2.0,4.0,2.0,10.0,1.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,36
45,조은마디병원,25226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,4.0,6.0,3.0,3.0,6.0,14.0,6.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,61
46,강동성심병원(동신중학교),25224.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,22.0,1.0,5.0,7.0,13.0,3.0,21.0,17.0,14.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,108
47,천동초등학교.천호도서관,25223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2.0,4.0,5.0,8.0,3.0,11.0,8.0,10.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,72
48,참잘함한방병원,25221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,6.0,5.0,8.0,7.0,6.0,14.0,13.0,9.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,98
49,강동농협,25219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,1.0,7.0,7.0,7.0,8.0,4.0,10.0,6.0,4.0,1.0,7.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,85
50,길동신동아아파트,25199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,9.0,14.0,9.0,4.0,5.0,2.0,3.0,10.0,23.0,8.0,10.0,3.0,1.0,,,,,,,,,,,,,,,110
51,길동성당,25197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,2.0,1.0,2.0,2.0,,1.0,3.0,5.0,16.0,5.0,2.0,5.0,4.0,,,,,,,,,,,,,,,55
52,명일여자고등학교,25195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,2.0,4.0,1.0,7.0,3.0,6.0,3.0,5.0,17.0,7.0,1.0,9.0,6.0,1.0,,,,,,,,,,,,,,83
53,고덕삼환.주공9단지아파트,25263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,2.0,1.0,1.0,4.0,4.0,5.0,1.0,6.0,10.0,5.0,4.0,10.0,8.0,9.0,,,,,,,,,,,,,,78
54,한영중고한영외고,25261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,1.0,,3.0,1.0,7.0,1.0,1.0,,3.0,12.0,3.0,4.0,11.0,10.0,1.0,3.0,10.0,3.0,,,,,,,,,,,80
55,강동고등학교,25257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,5.0,11.0,7.0,8.0,19.0,6.0,8.0,5.0,11.0,6.0,1.0,,,,,,,,,,108
56,고덕숲아이파크,25255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,,4.0,4.0,5.0,3.0,9.0,8.0,4.0,5.0,1.0,15.0,7.0,7.0,20.0,8.0,5.0,13.0,25.0,23.0,6.0,1.0,,,,,,,,,193
57,상일1동주민센터.롯데캐슬베네루체,25253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,1.0,1.0,6.0,4.0,8.0,2.0,,4.0,3.0,6.0,22.0,7.0,9.0,10.0,30.0,34.0,10.0,,,,,,,,,,162
58,고덕자이.상일여고,25251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,,2.0,,7.0,2.0,1.0,1.0,,4.0,6.0,2.0,11.0,8.0,9.0,8.0,14.0,28.0,16.0,1.0,1.0,,,,,,,,129
59,강명초등학교,25110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,4.0,2.0,1.0,5.0,,5.0,3.0,5.0,8.0,6.0,,1.0,,,,,,,,51
60,강명초등학교.고덕리엔파크3단지,25346.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,2.0,,,1.0,1.0,,,1.0,1.0,3.0,1.0,,9.0,2.0,,7.0,8.0,10.0,7.0,3.0,3.0,2.0,1.0,,,,,,66
61,고덕리엔파크2단지,25347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,3.0,1.0,1.0,1.0,,6.0,,4.0,7.0,1.0,2.0,,,,,29
62,강일역3번출구,25381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,3.0,5.0,,,,,2.0,,,10.0,2.0,2.0,,3.0,,,32
63,강일리버파크10단지.9단지,25329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,4.0,2.0,,,2.0,3.0,,,5.0,2.0,1.0,,,1.0,8.0,,4.0,11.0,,3.0,1.0,19.0,,,72
64,강일리버파크9단지후문,25339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,1.0,,,1.0,3.0,1.0,,6.0,1.0,,2.0,,2.0,1.0,,3.0,2.0,2.0,3.0,1.0,30.0,,,63
65,강일고등학교.강일리버파크7단지,25323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,2.0,,,1.0,3.0,,,,1.0,,1.0,1.0,3.0,1.0,4.0,2.0,11.0,1.0,1.0,38
66,강일초등학교,25327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,2.0,,,,,1.0,7.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,21
67,강일리버파크6단지,25317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,2.0,,1.0,1.0,,,,7
All,,,6.0,15.0,41.0,112.0,86.0,27.0,21.0,115.0,57.0,232.0,158.0,77.0,99.0,35.0,67.0,54.0,61.0,67.0,128.0,126.0,80.0,95.0,77.0,40.0,41.0,83.0,105.0,69.0,24.0,60.0,30.0,39.0,84.0,15.0,307.0,77.0,74.0,72.0,209.0,58.0,121.0,98.0,80.0,35.0,47.0,144.0,57.0,50.0,144.0,74.0,49.0,52.0,104.0,117.0,71.0,6.0,19.0,37.0,8.0,16.0,6.0,65.0,2.0,1.0,4626
